discovered_at,chain,dex,address,token_address,symbol,name,liquidity_usd,pool_created_at
2026-09-24T04:39:38.724389+00:00,robinhood,uniswap-v4-robinhood,0xcb475c2b16c55b8f6e4ba4d73fca3ad1093805b19e604d0288325fb5ff6e9307,,MrLeast / WETH 1%,MrLeast / WETH 1%,17707.303,2026-09-24T04:38:31Z
2026-09-24T04:39:38.724431+00:00,robinhood,uniswap-v4-robinhood,0xecbe7790b7cef139a107cc9d50d9528e4f80e658c9a329356cf411bfc41d4484,,ROBINHOOD / WETH 1%,ROBINHOOD / WETH 1%,30237.8721,2026-09-24T04:38:18Z
2026-09-24T04:39:38.724442+00:00,robinhood,pons-v2,0x9015c18ca6fd0df8f52fe5e30f7feb768bea1511,,CARTOONVLAD / WETH,CARTOONVLAD / WETH,5283.59,2026-09-24T04:37:52Z
2026-09-24T04:39:38.724451+00:00,robinhood,pons-v2,0x70c328ff5d1d5a49748ea016ca28374e48c02206,,FORTEX / WETH,FORTEX / WETH,5020.6277,2026-09-24T04:37:41Z
2026-09-24T04:39:38.724458+00:00,robinhood,pons-v2,0x5c0585d146acf74e112cb8132ab562e5221a8128,,LUMA / WETH,LUMA / WETH,5118.8039,2026-09-24T04:37:10Z
2026-09-24T04:39:38.724484+00:00,robinhood,pons-v2,0xa2124e375c8939a42e95ba5d4341daf6ac842f25,,GENX / WETH,GENX / WETH,5253.0912,2026-09-24T04:36:50Z
2026-09-24T04:39:38.724492+00:00,robinhood,uniswap-v4-robinhood,0x0e2b0297faab4b5adb825a313c644fdb2cc8cbc0a0e3328459813e74fa92c88a,,$LIQUINU / WETH 0.05%,$LIQUINU / WETH 0.05%,14918.7198,2026-09-24T04:36:15Z
2026-09-24T04:39:38.724501+00:00,robinhood,uniswap-v2-robinhood,0xd6a6da186ef58a7737dcd64628b86a251678523d,,FROGE / WETH,FROGE / WETH,278513.2213,2026-09-24T04:35:29Z
2026-09-24T09:56:06.566836+00:00,robinhood,pons-v2,0x92fe5ec5ce4d6006de239d73797d98cf04d78188,,FERNFOX / WETH,FERNFOX / WETH,5219.4478,2026-09-24T09:51:55Z
2026-09-24T09:56:06.566875+00:00,robinhood,uniswap-v4-robinhood,0xa84a59a9ee7402450559307de3c4fbc486669cbbd711b4a60eec66fc5fee9103,,KIBSHI / WETH 0.05%,KIBSHI / WETH 0.05%,11233.5786,2026-09-24T09:50:53Z
2026-09-24T09:56:06.566886+00:00,robinhood,uniswap-v4-robinhood,0x7852b8d2637ba063cc832e8453731e878ce4d9333d0be2ce5805b6d720d492e6,,CLDK / WETH 0.25%,CLDK / WETH 0.25%,6640.9706,2026-09-24T09:50:26Z
2026-09-24T09:56:06.566893+00:00,robinhood,pons-v2,0x041acc2be306b763dabdd27fdce1eb7e1a3b8e69,,BATO / WETH,BATO / WETH,7602.1761,2026-09-24T09:50:04Z
2026-09-24T09:56:06.566900+00:00,robinhood,uniswap-v2-robinhood,0x4632a56b630d342a228399c097c723ce0f2b7299,,RFRG / WETH,RFRG / WETH,9096.7293,2026-09-24T09:49:59Z
2026-09-24T09:56:06.566906+00:00,robinhood,uniswap-v4-robinhood,0xdebfb68f02433e8dfd8e6bf70ff3f7a998e9f38c6bee6bdf718c0709071273a4,,STONKS / WETH 1%,STONKS / WETH 1%,33156.6856,2026-09-24T09:49:54Z
2026-09-24T09:56:06.566913+00:00,robinhood,pons-v2,0x2bfb6990e56c20fada4517d3be93c9228d51edc0,,MERRY7 / WETH,MERRY7 / WETH,5369.1123,2026-09-24T09:49:46Z
2026-09-24T09:56:06.566921+00:00,robinhood,uniswap-v4-robinhood,0x3193949721d72706bb06b9dfcb2e9691bcb579fd2688df5c6ed0978debc44a70,,SDOG / WETH 1%,SDOG / WETH 1%,42805.3275,2026-09-24T09:49:39Z
